Question	Comment
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Sensors everywhere feeding data back to the city to improve things like traffic and public safety
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	City service information available mainly online. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Protected Bike Lanes and sustainable forms of transit. A turn away from cars and single family zoning. A smart city should have mostly mixed used urban development. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Efficiency - How do we do more while consuming less.  Public transportation is key, intelligent zoning, access to parks from the places where people live, less of a focus on ever expanding highways!"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	not sure
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Street lights, traffic signals, etc. linked to servers where issues can be seen, diagnosed, and corrected remotely and quickly. CCTV access for city services (police, fire, sanitation) to see problems perhaps before they’re even reported for swift action. Water sensors to automatically  alert SAWS of leaks/main breaks for quick shut-off and repair, to minimize water loss/waste. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A city driven by technology to help enhance the lives of citizens.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Big brother and that is unacceptable. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Using technology to improve a communities' way of life.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Livability
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that are up to date in technology
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Connected with resources to enable citizens to leverage. This could including mapping utilities that tie traditional public transit with last mile transit. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	I’ve seen Smart/Safe City develop elsewhere in the world as provided by “state-owned” companies with alleged links to foreign intelligence agencies. Transparency and oversight by democratically elected officials and perhaps human/privacy rights NFPs will be essential for this concept to be successful in the United States. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Healthy cities
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	When I think of smart cities I think of places like New York City who have public transportation all throughout the state of NY. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"I have an electro magnetic frequency sensitivity so I think of being electrocuted and having headaches from too much wireless. I hope you use wirED whenever possible to protect people like me. Also as a former military web mgr, I worry about hackers taking advantage of weak passwords."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Technology that makes day to day easier
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Seamless transportation options
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Street side cafe’s, lunch spots, live, work, play. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Waste of money.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	nothing
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Using the data to make our city better equipped 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Transportation- wifi everywhere 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"All the public services online, free access to wifi. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	probably more charging stations for cars and community open wi-fi
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A place where people are able to access internet with little/no cost, better/more affordable public transportation. Monitor and control traffic so that there is less gridlock. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Electric cars/public transportation, with the internet integrated throughout the city providing advanced forecasting and analytics."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Interconnection between public transportation, information on traffic and available city services, and use of technology to promote a healthy ecology/environment."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Moving toward the future with technology, making strides to making our city green and caring about the environment. However, when we make these improvements, we have to keep the learning level of all ages and abilities in mind. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"It makes me think of ""smart home"" but I don't think that's the intention"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Fiber internet, monorail-style city transportation, lessening our carbon footprint."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Improved Education and education facilities for Children
Improved infrastructure
Better traffic
Improved safety and security of public"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Easy to use free access to the Internet
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	N/A
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Data collection of cars, pedestrians, bicycles, and other form of transport for better decision making."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city that makes decisions that positively impact the citizens, services and environment."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Projects work in concerts (i.e. it is sad to see a new road tore up because the utilities underneath it weren't done in concert).
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Data and technology
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Rail system, shaded lush parks and rivers, no litter, no dependence on coal or gas "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A public relations firm 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"cities whose citizens have easy access to relevant, up to date technology and internet services "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	The color orange tubing and blocked traffic lanes while the city allows Google to dig up the streets to convert parts of the city to high speed internet.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Light rail
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	One who has planned for growth and all the challenges and needs of that. Need infrastructure to support it
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Free wifi everywhere, easy connection to all city services and allowing any service that can be done in person to be done online"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Accessible public transportation.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Public transit, light rail, side walks, bike lanes, and green ways. Not freeways full of uninsured oversized trucks and free range mattresses. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Making dense urban areas more walkable and having convenient, affordable mass transit options and take away dependence on cats for transportation."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Streamline, affordable and simple public transport which keeps traffic low for those that must drive and offsets some pollution. Safe and clean walkways and parks for locals and visitors."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	free of crime
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city that isn’t completely car-dependent and has reliable and convenient public transportation options. Until this city doesn’t make me feel forced to operate a vehicle just to exist here, there can be nothing smart about it."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Energy-efficient public services, universally available gigabit fiber internet service, road networks that are designed with the latest techniques (no stroads) to preserve neighborhoods while increasing throughput of major routes."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that better utilise space.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city that incorporates many sectors and the public voice in the information it gathers to make decisions. Decisions are made with an eye on the future as well as current needs to create a healthy and safe city for all, not just the priveleged."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Easy access to all major areas of the city via reliable and fast public transit - that is, a more environmentally friendly and walkable city."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cuties with good and accesible public discourse
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that are smart about their use of technology. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Expansive rail networks, with Wi-Fi access and amenities. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Public rail systems.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Variety of public transportation options and strong environmental considerations.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Using technology to address issues with housing, public transit, and public health"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Easy to traverse cities with green technology
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Walkable areas, with multiple modes of transportation available including rail. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that are working towards the greater good while intertwining technology and smart infrastructure. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Walkable cities with fiber internet, job growth, public transportation, that utilize clean energy such as solar for public buildings, traffic lights etc, use water conservation efforts, and offer a robust recycling program"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A city where technology is used to integrate systems & services to make it easier and faster for citizens to access what they need 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Clean cities 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Electric vehicle charging stations, fast commuter rails, environmental conservation policies"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Public railway system to move around the city conveninietly 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Trains and walkable cities. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Excellent public transit with signage for (accurate) wait times.  Light rail and trams with priority transit would be very important.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Public transportation! Safe travel for pedestrians and other non-vehicular transport, citizens supporting housing insecure individuals by getting them into affordable housing FIRST, supporting individuals who struggle with mental illness.  "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities built for proper growth and living conditions leveraging technology to accomplish this.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Automation
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Clean, green, and with reliable public transportation."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities with less pollution as they use clean energy to power electric systems for transportation, better thought out safe roads, and incorporation of technology that helps to reduce our carbon footprint while reducing our concrete jungle."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Protection of infrastructure from bad actors. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Management buzzword. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"That I don't know what ""smart cities"" actually does for regular people and that it sounds like a board room marketing term. Using technology is good but I would like to just be told what's going to improve without the cute lingo."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	better public transit
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Clean, green energy"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	a resilient city is where residents are educated enough to be highly productive and healthy enough to take advantage of it.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Commuter railways, protected bike lines, improvements to make the city for walkable in general, etc."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city that uses technology to make public resources easy to access, learn about, encourage people to come together. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Fast public transit rails
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities purposely built to serve citizens. Bike lines where biking is practical, light rail where practical. Reduced parking in downtown with Better transit options. Data driven city planning. Build to attract business and skilled workers to downtown. Desirable place to live."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city with efficient public transportation, housing, crime prevention, hub for innovative jobs."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Great interconnected public transportation options like light rails subways trains
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that incorporate technology in everyday use to help lower day to day operations.  
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Technology and modern use of technology to help sustainability 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	People focused infrastructure and optimization.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city where a car is not needed because the city is designed for humans, not cars, and rapid transit is so available that it is more convenient to use than a car."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities planned around the people and not around businesses. Cities that adapt to peoples needs such as areas without cars to encourage foot traffic (more space for local stalls, while also helping obesity rates)"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities designed to meet the needs of citizens instead of the needs of cars and big businesses. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Any city in China, we are so far behind."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"more busses and trains, make it easier for people to go places without a car, im a bad driver and i am a danger to myself and others in a car."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	V2X interconnected enterprise system 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities like Amsterdam that have good public transport and prioritize humans over cars, city that uses sustainable power like solar and nuclear, city that has good urban development and prevents ugly  suburban sprawl"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Using technology in public spaces to improve quality of life including public safety, transit, and access to data"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Electric vehicle charging, good and convenient public transportation, more walking paths/areas"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Good public transport and walkable communities with comprehensive public services. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Electric light rail like Salt Lake City, UT has.  Charging stations for EV.  Easy access to Dr Offices and Labs for physically challenged people.  Internet access for all."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Rail, better airport."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Electric trains, free WiFi, free events with local businesses selling there. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Streamlined public transit aside from gas vehicles, technologically advanced public facilities (city hall, court house), stipends for residents to ""go electric"""
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A smart city, in my opinion is one that is efficient. Efficiency being where our public service and aids such as public transportation are reliable and convient."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Efficient public transportation with rail.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Access to information, mixed zoning, and public transportation. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Any major city out West
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Efficient technology solutions for the public and every day use 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities that strategically invest in technology by utilizing competent vendors, creating platforms that benefit the public at large (as opposed to one small group), and that make life easier/more productive for the average citizen. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Forward thinking/planning for the future, looking for new technologies to solve current problems, I.e. high speed rail tech to increase and improve public transportation needs, affordable internet programs for all families, etc "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Clean energy investments (household to commercial), efficient and reliable public transportation, clean energy transportation infrastructure (light rail, subways, trains), reliable and low-cost internet service options, "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	For San Antonio I picture a rail system that largely follows the highways and river canals with railed boats spreading out from the riverwalk.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities that are technology-conscious and use todays tools (internet, etc) to improve the well-being of the residents"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Better traffic flow, and more focus on environmental issues such as eliminating single plastic use bags"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that run almost entirely on wifi
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	200 people in rural US
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Clean, high tech vehicles and solid infrastructure "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Public data collected and used to improve quality of life.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Eco-friendly light rail
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A city that leverages technology to improve its residents’ lives without compromising their privacy. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Renewable, sustainable, more pedestrian and bike friendly (especially in the warm climate of south central Texas)"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city that works for a mass population, which is mostly lower income. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"San Antonio is NOT a smart city. A smart city has a ban on single use plastics, ban on grocery store single use plastic bags. In SA there’s no incentive to go green. There should be rewards for people who give up their car use for a few days a week and use public transportation. A reward for recycling over using the regular trash bin. There should be a plastic tax and a gasoline tax. In Mexico City, you can only use your car on specific days of the week. San Antonio is waiting to get that polluted before doing that, but do it now. There’s not enough publicity by the city on the state of pollution in San Antonio, nobody cares because the city does nothing to encourage and promote green living. Why are there no “bad air” alerts on our phones from the city, even though the weather apps are saying it’s a bad air day here? The city can do more to make us aware. People will get selfishly angry if they can’t use their cars instead of wanting to lessen pollution and the city can help change that attitude. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities with mixed use communities interconnected with accessible transportation like light rail and such
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Trains public transportation 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that are efficient and implement data driven infrastructure. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Railway and using technology to help people without impacting the environment 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Convenience, clean, innovation. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Designed around the needs of the community, including pedestrians and not just those with cars!!"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Rail system 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Connected and efficient. More green spaces and safe.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Trains! Trams! Anything except cars. Walkable cities. I should be able to go to work, get groceries, and grab a bite to eat without needing a car. Great clean power infrastructure is a must too. Put solar panels EVERYWHERE."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Better public transportation, better access to internet."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city that’s actually designed for people, not cars."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Widespread public transit with human-based, walkable, and accessible development"
