Question	Comment
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More/easier access 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	To make things more efficient for us
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Faster and easier
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Making sure first responders can use current and future technology to keep our city safe.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Needs to be convenient, and accessible from all areas of San Antonio
"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Increase access to internet. Make it public utility 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Affordable internet for all
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better area
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Allow all the residents to access internet.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Increased efficiencies
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I would like to have the ability to have Wi-Fi connectivity all throughout the city with reliable service. I would also like to have an ability to know who does what. What schools are involved, how are businesses contributing and what is the overall goal and the progression toward it. I would like to see more advancement in transit and options."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better response time and follow portal for code violations reported.
